title	table	start	end
Human Development Index and its Components	myer-egms	1/1/2012	12/31/2013
Human Development Index trends	y8j2-3vi9	1/1/1980	12/31/2013
Inequality-Adjusted Human Development Index	n8fa-gx39	1/1/2003	12/31/2013
Gender Inequality Index	ku9i-8fxp	1/1/2005	12/31/2015
Gender-related Development Index	me25-gsuv	1/1/2000	12/31/2013
Multidimensional Poverty Index	frx9-rb5i	1/1/2005	12/31/2013
Multidimensional Poverty Index - changes over time for select countries	263u-f92z	1/1/2005	12/31/2013
Health - Children and Youth	d27x-j4an	1/1/2008	12/31/2012
Adult Health and Health Expenditure	qdu3-trb6	1/1/2003	12/31/2015
Education	xn26-t7qa	1/1/2003	12/31/2012
Command over and allocation of resources	3rcm-zfpk	1/1/2005	12/31/2013
Social competencies	5kdi-xutn	1/1/2003	12/31/2013
Personal insecurity	qie2-6sik	1/1/2002	12/31/2013
International integration	2g3j-ecrk	1/1/2006	12/31/2015
Environment	sf29-qtcx	1/1/1970	12/31/2012
Population trends	3vja-izgd	1/1/2000	12/31/2015
Supplementary indicators - Perceptions of wellbeing	p79w-icq5	1/1/2007	12/31/2013
Human Development Indicators by Country	5tuc-d2a9	1/1/2005	12/31/2013
